ObjektID;Gemeinde;KG;Bezeichnung;Adresse;GdstNr;Status
23105;Wien 1 - Innere Stadt;01004 Innere Stadt;Ehem. Warenhaus Pollak;Kohlmarkt 2;291;Bescheid
23106;Wien 1 - Innere Stadt;01004 Innere Stadt;Wohn- und Geschäftshaus, Waldstein-Haus;Kohlmarkt 3;1150;Bescheid
23111;Wien 1 - Innere Stadt;01004 Innere Stadt;Bürgerhaus;Kohlmarkt 4;289;Bescheid
23112;Wien 1 - Innere Stadt;01004 Innere Stadt;Wohn- und Geschäftshaus;Kohlmarkt 5;1151;Bescheid
23107;Wien 1 - Innere Stadt;01004 Innere Stadt;Wohn- und Geschäftshaus;Kohlmarkt 6;288;Bescheid
23108;Wien 1 - Innere Stadt;01004 Innere Stadt;Miethaus, Zu den zwei steinernen Säulen, Zum Holzgewölb, Hollauer-Haus;Kohlmarkt 7;1155;Bescheid
23284;Wien 1 - Innere Stadt;01004 Innere Stadt;Wohn- und Geschäftshaus mit ehem. Kerzenladen Retti, Patentamt;Kohlmarkt 8-10;285, 286, 287;Bescheid
24509;Wien 1 - Innere Stadt;01004 Innere Stadt;Wohn- und Geschäftshaus, Artaria-Haus;Kohlmarkt 9;1156;Bescheid
98355;Wien 1 - Innere Stadt;01004 Innere Stadt;Wohn- und Geschäftshaus;Köllnerhofgasse 1;736;Bescheid
98357;Wien 1 - Innere Stadt;01004 Innere Stadt;Wohn- und Geschäftshaus;Köllnerhofgasse 2;716;Bescheid
98358;Wien 1 - Innere Stadt;01004 Innere Stadt;Wohn- und Geschäftshaus;Köllnerhofgasse 3;737;Bescheid
98359;Wien 1 - Innere Stadt;01004 Innere Stadt;Wohn- und Geschäftshaus;Köllnerhofgasse 4;715;Bescheid
27611;Wien 1 - Innere Stadt;01004 Innere Stadt;Wohn- und Geschäftshaus;Krugerstraße 4;1045;§ 2a
27612;Wien 1 - Innere Stadt;01004 Innere Stadt;Wohn- und Geschäftshaus;Krugerstraße 8;1047;Bescheid
22690;Wien 1 - Innere Stadt;01004 Innere Stadt;Bürgerhaus;Kumpfgasse 3;862;Bescheid
22620;Wien 1 - Innere Stadt;01004 Innere Stadt;Miethaus;Kumpfgasse 5;861;Bescheid
22621;Wien 1 - Innere Stadt;01004 Innere Stadt;Becherlhof, ehem. Kleiner Ramhof;Kumpfgasse 9;869;Bescheid
40768;Wien 1 - Innere Stadt;01004 Innere Stadt;Miethaus;Kurrentgasse 10;402;Bescheid
40769;Wien 1 - Innere Stadt;01004 Innere Stadt;Miethaus, Prieschenkisches Haus;Kurrentgasse 12;403;Bescheid
40765;Wien 1 - Innere Stadt;01004 Innere Stadt;Miethaus;Kurrentgasse 4;391;Bescheid
40766;Wien 1 - Innere Stadt;01004 Innere Stadt;Miethaus;Kurrentgasse 6;392;Bescheid
40767;Wien 1 - Innere Stadt;01004 Innere Stadt;Miethaus;Kurrentgasse 8;394;Bescheid
40770;Wien 1 - Innere Stadt;01004 Innere Stadt;Bankgebäude;Landhausgasse 2;80;Bescheid
40772;Wien 1 - Innere Stadt;01004 Innere Stadt;Bürgerhaus;Ledererhof 9;339;Bescheid
93106;Wien 1 - Innere Stadt;01004 Innere Stadt;Stadtpalais;Liebenberggasse 7;1350;Bescheid
50423;Wien 1 - Innere Stadt;01004 Innere Stadt;Miethaus;Liebiggasse 4;1545;§ 2a
50425;Wien 1 - Innere Stadt;01004 Innere Stadt;Miethaus, Notariatskammer;Liebiggasse 8;1533/2, 1533/8;§ 2a
20418;Wien 1 - Innere Stadt;01004 Innere Stadt;Wohn- und Geschäftshaus;Liliengasse 2;926;Bescheid
92995;Wien 1 - Innere Stadt;01004 Innere Stadt;Wohn- und Geschäftshaus;Liliengasse 3;925;Bescheid
40773;Wien 1 - Innere Stadt;01004 Innere Stadt;Wohn- und Geschäftshaus;Lobkowitzplatz 1;1062/9, 1062/22;Bescheid
40774;Wien 1 - Innere Stadt;01004 Innere Stadt;Palais Lobkowitz, ehem. Palais Dietrichstein, Theatermuseum;Lobkowitzplatz 2;1175;Bescheid
22611;Wien 1 - Innere Stadt;01004 Innere Stadt;Georg Raphael Donner Denkmal;Lothringerstraße 10, gegenüber;1899/7;§ 2a
97265;Wien 1 - Innere Stadt;01004 Innere Stadt;Josef Labor-Denkmal;Lothringerstraße 20, bei;1899/1;§ 2a
121257;Wien 1 - Innere Stadt;01004 Innere Stadt;Wohnhaus;Lothringerstraße 3;1298;Bescheid
93006;Wien 1 - Innere Stadt;01004 Innere Stadt;Ehem. Palais Ofenheim;Lothringerstraße 5;1299;Bescheid
50444;Wien 1 - Innere Stadt;01004 Innere Stadt;Miethaus;Löwelstraße 12;92/1;Bescheid
40776;Wien 1 - Innere Stadt;01004 Innere Stadt;Miethaus;Löwelstraße 18;115;§ 2a
40775;Wien 1 - Innere Stadt;01004 Innere Stadt;Stadtpalais, Ehem. Palais Montenuovo;Löwelstraße 6;88;Bescheid
447;Wien 1 - Innere Stadt;01004 Innere Stadt;Gutenberg-Denkmal;Lugeck;1728;§ 2a
