ObjektID;Gemeinde;KG;Bezeichnung;Adresse;GdstNr;Status
35587;Salzburg (Statutarstadt);56537 Salzburg;Bürgerhaus, Kaltenbrunnerhaus, Fabrizenhaus;Getreidegasse 21;"354; 355";Bescheid
35588;Salzburg (Statutarstadt);56537 Salzburg;Wohn- und Geschäftshaus, Niederleghaus;Getreidegasse 22;481;Bescheid
35589;Salzburg (Statutarstadt);56537 Salzburg;Wohn- und Geschäftshaus;Getreidegasse 23;356;Bescheid
35590;Salzburg (Statutarstadt);56537 Salzburg;Reutterhaus, Lambergerhof und Teil der Stadtmauer;Getreidegasse 24;475, 476/1;Bescheid
42706;Salzburg (Statutarstadt);56537 Salzburg;Mauern, Teilstück der 2. Stadtmauer;Getreidegasse 24a, bei;476/2;Bescheid
35591;Salzburg (Statutarstadt);56537 Salzburg;Bürgerhaus, Nußdorfer- oder Schwabenhaus;Getreidegasse 25;357/1;Bescheid
41400;Salzburg (Statutarstadt);56537 Salzburg;Gasthaus, Mödlhammerhaus/zum goldenen Löwen;Getreidegasse 26;474/3;Bescheid
41535;Salzburg (Statutarstadt);56537 Salzburg;Bürgerhaus, Baron Lassberg-Haus;Getreidegasse 27;358;Bescheid
42707;Salzburg (Statutarstadt);56537 Salzburg;Bürgerhaus, Sailerstöckl;Getreidegasse 28;"471; 474/2";Bescheid
41529;Salzburg (Statutarstadt);56537 Salzburg;Bürgerhaus, Sternbäckerhaus;Getreidegasse 29;359;Bescheid
35573;Salzburg (Statutarstadt);56537 Salzburg;Wohn- und Geschäftshaus, Schatz-Durchhaus;Getreidegasse 3;343/1, 343/2;Bescheid
35592;Salzburg (Statutarstadt);56537 Salzburg;Bürgerhaus, Schafmannhaus;Getreidegasse 30;472;Bescheid
35593;Salzburg (Statutarstadt);56537 Salzburg;Hotel Goldenes Horn;Getreidegasse 31;360;Bescheid
35594;Salzburg (Statutarstadt);56537 Salzburg;Wohn- und Geschäftshaus, Tuchschererhaus;Getreidegasse 32;473;Bescheid
35595;Salzburg (Statutarstadt);56537 Salzburg;Bürgerhaus, Reitterhaus;Getreidegasse 33;361;Bescheid
41528;Salzburg (Statutarstadt);56537 Salzburg;Gasthaus, Sternbräu mit Arkadenhof und Sternstöckl;Getreidegasse 34-36;464;Bescheid
35596;Salzburg (Statutarstadt);56537 Salzburg;Bürgerhaus, ehem. Stockhamer'sche Behausung;Getreidegasse 35;362;Bescheid
35597;Salzburg (Statutarstadt);56537 Salzburg;Hotel Goldener Hirsch;Getreidegasse 37;363;Bescheid
35598;Salzburg (Statutarstadt);56537 Salzburg;Bürgerhaus, Kaspis, Altes Sternhaus;Getreidegasse 38;463;Bescheid
35599;Salzburg (Statutarstadt);56537 Salzburg;Wohn- und Geschäftshaus, Kollegimesnerhaus;Getreidegasse 39;364;Bescheid
35574;Salzburg (Statutarstadt);56537 Salzburg;Bürgerhaus, Apotheke, Zum Goldenen Biber;Getreidegasse 4;500, 503;Bescheid
41534;Salzburg (Statutarstadt);56537 Salzburg;Bürgerhaus, Haselbäckerhaus;Getreidegasse 40;462;Bescheid
35600;Salzburg (Statutarstadt);56537 Salzburg;Gasthaus, Zur Blauen Gans;Getreidegasse 41-43;"365; 366";Bescheid
67766;Salzburg (Statutarstadt);56537 Salzburg;Bürgerhaus, Fragnerhaus;Getreidegasse 42;461;Bescheid
41533;Salzburg (Statutarstadt);56537 Salzburg;Bürgerhaus, Wieserhaus;Getreidegasse 44;460;Bescheid
35601;Salzburg (Statutarstadt);56537 Salzburg;Bürgerhaus, Färberhaus;Getreidegasse 45;367;Bescheid
35602;Salzburg (Statutarstadt);56537 Salzburg;Bürgerhaus;Getreidegasse 46;459;Bescheid
35603;Salzburg (Statutarstadt);56537 Salzburg;Wohn- und Geschäftshaus, Ehem. Wagnerhaus;Getreidegasse 47;368;Bescheid
89445;Salzburg (Statutarstadt);56537 Salzburg;Wohnhaus;Getreidegasse 49;387;§ 2a
